Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
31.521151304244995	0	-348.909163415	156.173023691	119.837035582	-724.692442365	113.464589235	33.4295507756	40053	40053
60.43974542617798	1	-265.731212803	145.014449773	157.290483963	-664.001713057	110.203856749	27.9058291747	40004	80057
89.25556564331055	2	-217.101853377	120.19961117	150.969020014	-611.179102857	118.253687316	36.6675321522	40088	120145
118.10043358802795	3	-209.306897781	110.642949721	142.754500105	-549.398845541	120.147147147	38.9622050556	40009	160154
147.53542017936707	4	-183.879246109	110.522692934	143.148083597	-605.153738091	127.323809524	43.342964916	40107	200261
176.6803753376007	5	-166.911800355	99.2641646619	165.529237553	-550.174100728	120.84939759	38.7143722682	40122	240383
207.80700516700745	6	-142.111105894	96.7609505706	225.89164381	-452.060062898	129.180645161	79.2722113755	40046	280429
237.215882062912	7	-126.091616765	97.6642590449	191.442946829	-388.732273234	127.449044586	46.1031688782	40019	320448
268.2009847164154	8	-110.441038355	84.8239794897	177.575227333	-360.912111805	127.394904459	64.281007087	40002	360450
299.4056091308594	9	-89.5874938082	90.4092186987	205.149369716	-308.697380774	135.688135593	66.4037804844	40028	400478
330.7268052101135	10	-68.2266868913	99.3405903343	206.053303421	-272.64569525	143.964157706	47.939240277	40166	440644
368.1666851043701	11	-63.6435740286	101.783328303	178.919121211	-295.621267604	164.057377049	86.7921768005	40030	480674
405.3684952259064	12	-37.8607031839	115.482463996	209.436844999	-318.658978998	186.153488372	94.9332185076	40023	520697
443.7246971130371	13	-60.8897842815	103.168878421	231.734356155	-355.62109361	204.239795918	100.685652708	40031	560728
495.136682510376	14	-47.3490871454	111.926917399	187.39138655	-289.351466568	271.02027027	193.224993823	40111	600839
547.3254854679108	15	-46.713339048	127.751849732	197.678330833	-286.006151938	324.620967742	216.347860302	40253	641092
605.4701170921326	16	-42.1840568508	129.367137909	225.49359131	-294.444007599	386.230769231	256.68965963	40168	681260
669.5313830375671	17	-24.7851924677	136.741015451	230.099315056	-311.186873402	467.459770115	278.913689307	40669	721929
737.6556622982025	18	-15.0714216638	130.893963977	241.591714138	-441.534778471	625.765625	314.288419598	40049	761978
801.2550568580627	19	-21.3583516834	141.183167281	207.733819286	-364.493198166	589.661764706	316.270761248	40097	802075
872.8863537311554	20	-1.16752131428	135.544278287	228.89563153	-352.026392316	608.850746269	324.491715219	40793	842868
944.0808258056641	21	-26.7154752438	136.614163879	199.22487164	-415.102128714	679.389830508	289.149132652	40084	882952
1018.9933335781097	22	-14.0298729529	106.147893354	204.165354098	-175.205161081	722.089285714	300.863891675	40437	923389
